x, y
0.8, 0.8745387453874539
0.9047156726768377, 0.8612546125461256
0.9137309292649098, 0.8745387453874539
0.9276005547850208, 1.0095940959409595
0.9567267683772539, 0.940959409594096
0.971983356449376, 0.9077490774907749
1.0316227461858531, 0.8922509225092251
1.039251040221914, 0.9431734317343174
1.0108183079056867, 1.0405904059040592
0.9914008321775313, 1.0715867158671588
0.9934812760055479, 1.0937269372693728
1.0857142857142859, 1.1380073800738009
1.071844660194175, 1.4369003690036901
1.212621359223301, 1.6848708487084871
1.2715672676837726, 1.21549815498155
1.2431345353675451, 1.1623616236162362
1.212621359223301, 0.8922509225092251
1.1550624133148406, 0.9586715867158673
1.1495145631067962, 1.0162361623616236
1.146740638002774, 1.056088560885609
1.1190013869625521, 0.940959409594096
1.108599167822469, 0.929889298892989
1.1092926490984745, 0.9476014760147602
1.1058252427184467, 0.9608856088560886
1.0954230235783635, 0.8059040590405904
1.054507628294036, 0.8302583025830259
